,text,name,score,time_ms
536,davilacolon quisiera saber cuantos caso ha hecho el municipio d salud despues q la alcaldesa cyulin contrato exclusivamente a quest lab x 1 millon y nadie de prensa questiono ese fraude d exclusividad vs la atencion x igual dl pueblo y saber si esas pruebas tambien se envian a california https t co ua4rnv8jo9,municipio-d&municipio-d,10.735,45.002
781,el cooperante pero una venezolana que fue a colombia a un entierro regreso ayer 19 a valencia como la dejaron pasar si las fronteras de pais a pais de estado a estado y de municipio a municipio estan cerradas yo no e salido de mi pais no puedo regresa a donde vivo porque fui a otro municipio,municipio-a&municipio-a,10.735,27.987
856,connurydiaz elyangelicanews en venezuela nos prohibe trasladarnos de un municipio a otro y dejan aterrizar aviones europeos de donde proviene el viruschino intereses a la vista que les importa porque mienten,municipio-a&municipio-a,10.735,16.515
1403,poco se habla del papel de salvador illa en la gestion de esta crisis y de su meteorico ascenso desde un pequeno municipio a un ministerio del estado,municipio-a&municipio-a,10.735,30.341
887,rt duquegustavos estamos realizando un trabajo en conjunto con todos los miembros de los edificios en chacao para tener un voluntario que puedan hacer las compras necesarias para los adultos mayores hoy repartimos 8 cisternas de agua en todo el municipio a los vecinos qu,municipio-a&municipio-a,10.735,20.761
1827,les cuento en aragua restringieron el paso entre municipios cabe destacar que hay que tener salvoconducto para trasladarse ahora bien el suministro de agua es casi nulo lo que muchas personas van de municipio en municipio a abastecerse de agua y ahora como haran,municipio-a&municipio-a,10.735,52.413
1102,la linea de atencion gratuita por sospecha de coronavirus ya esta habilitada en el municipio a traves de la secretaria de salud llamanos e informate de las capacitaciones de prevencion en la fase de contencion del covid 19 en nuestra ciudad unaestrategiadetodos https t co ibdgwyxice,municipio-a&municipio-a,10.735,17.817
1610,intendencia zabaleta un municipio a la deriva,municipio-a&municipio-a,10.735,7.529
980,deben exonerar este impuesto ya que estamos en cuarentena ya que no hay gasolina ya que no se puede trasladarse de un municipio a otro sean logicos,municipio-a&municipio-a,10.735,10.926
710,yomequedoencasa la administracion municipal hace extensa la invitacion a toda la comunidad residente en el municipio a acatar las medidas adoptadas en el simulacro de cuarentena obligatorio y evitar la propagacion del coronavirus covid 19 https t co qpotr0jjso,municipio-a&municipio-a,10.735,117.801
1023,gestion a poquisimo el acatamiento de los vecinos del municipio a la cuarentena obligatoria hay que tomar medidas urgentes porque preocupa la gente esta en las calles como si nada misma cantidad de autos todo sigue igual,municipio-a&municipio-a,10.735,12.492
1691,quisera saber cuantos caso ha hecho el municipio d salud despues q la alcaldesa cy contrato exclusivamente a quest laboratory x 1 millon y nadie de prensa questiono ese fraude d exclusividad vs la atencion x igual dl pueblo y saber si esas pruebas tambien se envian a california https t co qd4ruihxnh,municipio-d&municipio-d,10.735,44.239
1812,la piedad municipio a partir del lunes 23 se reforzaran rutas de recoleccion de basura en tres colonias y el centro de la ciudad saca los residuos al toque de la campana y evita dejarlos en la calle lapiedad videaplataforma https t co htp2ntjcst,municipio-a&municipio-a,10.735,137.26
455,mano deben vender y comprar lo que puedan con la mega falla de la gasolina todo sera minimizado y de paso no puedes salir de un municipio a otro,municipio-a&municipio-a,10.735,29.479
612,senores d sanidadgob a ver si aprenden a dar los datos del coronavirusespana asi municipio a municipio afectados numero de tests residencias con positivos saturacion de los hospitales medidas de refuerzo etc el buscador de su web no va periodismo visualizacion datos,municipio-a&municipio-a,10.735,15.065
395,marielfmoreno1 kicillofok drdanielgollan mariel me dicen amigos que en los barrios de moreno no se esta cumpliendo la cuarentena mucha gente en la calle saquen moviles policiales y del municipio a concientizar sobre coronavirus va de onda,municipio-a&municipio-a,10.735,14.271
582,ottosonnenh lenin cynthiaviteri6 mariapaularomo ivanontanedab por favor cuiden a nuestros medicos y trabajadores de la cadena de produccion pongan carros militares o del municipio a su disposicion para que lleguen a casa proveanles mascarillas y turnos mas racionales,municipio-a&municipio-a,10.735,109.494
1652,ecuadorenvivo carlosverareal el gob es el encargado y tiene la competencia sobre el espacio aereo nacional y aeropuertos los alcaldes acatan y ejecutan las decisiones y excepciones de la autoridad competente sr su medio de vida es el municipio a traves de los auspicios q recibe asesore bien a su cliente,municipio-a&municipio-a,10.735,158.597
1371,sanchezcastejon por favor trabajo en la construccion me hacen trasladarme de un municipio a otro a trabajar al final sere contagiado me ire de baja y ademas hare gasto al estado basta ya de hacer trabajar a la gente no imprescindible vas a acabar con nosotros confinamiento chino ya,municipio-a&municipio-a,10.735,29.146
1399,elyangelicanews rsimosa71 y pasar de un municipio a otro es un problema aun con tapa bocas guantes salvoconductos claro ellos son los que pueden todo que impotencia,municipio-a&municipio-a,10.735,10.257
15,varelad y como si faltara algo hoy pasaron del municipio a fumigar casa por casa por un caso de dengue en el barrio,municipio-a&municipio-a,10.735,66.528
131,participamos en la ceremonia de transmision de mando del presidente luislacallepou y la vicepresidenta beatrizargimon en montevideo exitos en su gestion que estara enmarcada en trabajar en unidad por la libertad y el respeto a los derechos de todo el pueblo uruguayo https t co xlkmetnzek,isla-de-la-libertad&isla-libertad-isla-ratones-isla-de-conejos-isla-de-ratas-isla-de-la-libertad-isla-la-libertad-rat-island,10.429,51.929
201,entre uno de los equipos de virologia de la facultad de ciencias udelar y el instituto pasteur de montevideo produjeron un test local que aumenta la capacidad de diagnostico del coronavirusenuruguay https t co 11qrhb6nbt,instituto-pauster-de-montevideo&instituto-pauster-de-montevideo,10.385,162.482
1933,covid2019 comunicado conjunto de la universidad de la republica e instituto pasteur de montevideo sobre el desarrollo de test para el diagnostico de coronavirus covid 19 udelaruy ipmontevideo https t co t3cscwrlea,instituto-pauster-de-montevideo&instituto-pauster-de-montevideo,10.385,181.061
860,en vivo en este momento conferencia de prensa conjunta de las autoridades de la universidad de la republica udelaruy el instituto pasteur de montevideo ipmontevideo y el ministerio de salud publica mspuruguay https t co ccgmjiembz,instituto-pauster-de-montevideo&instituto-pauster-de-montevideo,10.385,196.15
1820,jugamos en la primer imagen hay 26 barrios de montevideo en la segunda 25 localidades del uruguay el aislamiento pega fuerte yomequedoencasa https t co bce9b2acyu,manos-del-uruguay&manos-del-uruguay,10.258,136.715
152,estos juegos me estan haciendo la cuarentena entretenida barrios de montevideo localidades del uruguay y bandas musicales https t co wukjdeequ8,manos-del-uruguay&manos-del-uruguay,10.258,124.204
65,gente si conocen algun obrero de la construccion preguntenles no se queden con lo que dice el sindicato y esta hdp muchos quieren seguir laburando la plata que les dan es poca,instituto-de-ensenanza-de-la-construccion-ingeniero-cayetano-carcavallo-utu&instituto-de-ensenanza-de-la-construccion-ingeniero-cayetano-carcavallo-utu,10.063,21.586
1134,buenviernes pone azulfmuy desde las 09 00 y hasta las 10 30 jhgatti y leoluzzi conducen uy debate 101 9 montevideo 93 5 punta del este https t co yklywt3rcx,punta-del-tigre&punta-tigre-punta-del-tigre,10.006,97.715
867,ahora en uy debate columna de deportes con jorge munoz pone azulfmuy 101 9 montevideo 93 5 punta del este jorgemunoz https t co 3mffunh1yo,punta-del-tigre&punta-tigre-punta-del-tigre,10.006,106.735
224,tengo un amigo que esta viviendo en buenos aires es de punta del este tiene casa en montevideo y se llama luca el guionista de dios anda encendido no no se escapo de ningun lado porque su mama y yo le prendemos fuego la casa como dijo la senora,punta-del-tigre&punta-tigre-punta-del-tigre,10.006,209.055
289,asi amanecio hoy el parque rodo de montevideo la naturaleza siempre gana el ser humano es el peor virus https t co rkegmdqo1g,parque-rodo&parque-rodo,10.006,58.568
1696,clararodri17 eltreceoficial en realidad estuvo por varias ciudades de europa debe haber venido de madrid en vuelo directo a montevideo pero tambien estuvo en punta del este o sea un tarado inconmensurable que no le importa nada ni nadie,punta-del-tigre&punta-tigre-punta-del-tigre,10.006,121.191
1257,alevigilmalbec buen dia ale hoy y a pesar de todo estare recibiendo en mi caso mi primer enemigo malbec lo compre atraves de vinos del mundo estan en montevideo y punta del este sin duda una de las tantas cosas antes de morir la otra conocer tu bodega salud desde mvd uruguay,punta-del-tigre&punta-tigre-punta-del-tigre,10.006,229.041
1552,los chicos de la paz wanderers entregaron una plaqueta al club por su apoyo incondicional desde montevideo wanderers agradecemos el calido gesto y queremos que todos los wanderers sigan creciendo el parque viera siempre sera su casa https t co krrza9spxz,la-paz&la-paz,9.984,231.534
1500,cossecarolina no es increible es mantener una linea por que los trabajadores de la construccion van a tener un regimen especial y yo no y el almacenero y mi vecino y la gente para la que trabajo y que trabaja para otros por favor muerdase la lengua asi termina su sufrimiento,instituto-de-ensenanza-de-la-construccion-ingeniero-cayetano-carcavallo-utu&instituto-de-ensenanza-de-la-construccion-ingeniero-cayetano-carcavallo-utu,9.966,22.235
1955,outros gringos que vale destacar sao os 2 maiores campeoes da america o independiente de avellaneda e o penarol de montevideo https t co mt7cysgskk,penarol&penarol,9.922,65.426
326,triviadeportiva 5 en la copa libertadores de 1963 se midieron en guayaquil y en montevideo everest y penarol cada equipo tuvo un spencer en cancha recuerden sus nombres,penarol&penarol,9.922,21.176
82,precipitacion acumulada ayer en montevideo maxima 7 0 mm en melilla,melilla&melilla,9.88,14.001
1390,tvciudaduy elcammarota borgesmajo darokneubu como rindio elcammarota todo ese odio que destilaste tu amigo chdica primero te dio el parque rodo para la bajada y ahora un programa en el canal de la imm asi da gusto ser militante me alegro por majo,parque-rodo&parque-rodo,9.834,56.954
1437,marianoemartin y el bus de montevideo a colonia y el taxi que habra tomado del clinicas a tres cruces mas los empleados q le hicieron el check in en colonia,tres-cruces&tres-cuces,9.782,83.511
333,se habria escapado del hospital de clinicas de montevideo https t co a9ueiyaqcf https t co 9np1l8wlha,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,9.763,58.108
1711,diagnostico de covid 19 que desarrollan la udelar y el institut pasteur de montevideo ciencia para construir soberania https t co xms3bmi7w5 via ladiaria,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,9.763,92.29
415,cossecarolina che caro ya que tanto reclaman bajen la patente de montevideo pospongan los pagos municipales de contribucion urbana den el ejemplo manga de vendehumo,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,9.763,49.05
355,portalmvd si porque lamongolicadecarmela ademas se fue a varios shoppings de montevideo,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,9.763,40.522
362,soyelgordojulio pwlrlo cossecarolina se lo pido a la de montevideo por que es don vivo y estoy harta de escuchar a los personajes frentistas pedir medidas que ellos mismos no asumen,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,9.763,54.656
381,informacion comunicamos que la maraton de montevideo sera reprogramada la nueva fecha sera anunciada una vez sean levantadas las medidas sanitarias sugeridas por el msp montevideoim https t co s18e5axyey,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,9.763,101.801
556,fer75pereda hablo de montevideo para ejemplificar el doble discurso del frente amplio pero tanto la flexibilizacion de pagos de impuestos municipales como la reduccion urgente de gastos son necesarios en las 19 intendencias no importa el color de su intendente,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,9.763,54.116
1713,si habran negocios turbios durante su actuacion como intendente de montevideo,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,9.763,26.972
1728,animalspirit leiste la noticia en uruguay del argentino de 21 anos que se escapo del hospital de montevideo sabiendo que tenia covid19 y se metio en un buquebus hacia buenos aires no se como se espacio y tampoco como migraciones no lo pudo parar antes,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,9.763,170.812
1735,apple28lady softtannie gera nunez1001 como que no las ajusto intendencia de montevideo ajusto impuestos contribuciones y tarifas di la verdad,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,9.763,40.966
1741,rommelrios desde el minuto 17 00 habla de montevideo,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,9.763,27.534
420,un pendejo fue diagnosticado con coronavirus en el hospital de clinicas de montevideo se escapo se subio a un buquebus y puso en cuarentena a 400 personas metamoslo en cana por el delito de ser un sorete y un pelotudo,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,9.763,71.626
1748,gente de montevideo se necesitan 100 donantes de sangre para un doloreno internado en el circulo catolico es buena gente y humilde y no cuesta nada dar una mano ya sea donando o retwitteando esto por favor muchas gracias,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,9.763,89.229
816,desde esta humilde cuenta como penarolens quiero mandar mi mas profundo reconocimiento a la hinchada del nacional de montevideo por aplicar desde hace anos los protocolos de distanciamiento social tan necesarios para combatir al coronavirus salud alemanya65 fspuy https t co whhkeg6wxi,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,9.763,166.849
594,subrayado por las medidas de la intendencia de montevideo antes de eso andaban barbaro,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,9.763,34.519
1504,en realidad deberian desde reducir impuestos hasta eliminar impuestos toda la intendencia de montevideo se ha tornado una asociacion para rapinar recursos al ciudadano de a pie,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,9.763,99.929
1355,mucho movimiento en las principales avenidas de montevideo mucha gente trabajando y otro tanto en la vuelta esperando alguna oportunidad a medida que pasen los dias la importancia simbolica de la cuarentena va a ir perdiendo fuerza,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,9.763,52.005
1348,hay que salvar a la casa de galicia de montevideo en bueno aires fueron suficientes cuatro anos de neoliberalismo autoritario para hundir el hospital del centro gallego hoy privatizado propronews m a d r i d,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,9.763,189.713
1325,satamanyar los impuestos municipales y la contribucion de montevideo sube muchisimo mas y ellos tienen potestad xa bajarla,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,9.763,38.606
1308,gente con mi marido arrancamos por nuestra cuenta a hacer envios dentro de montevideo desde 100 estamos en el centro envio responsable y puntual nos darian tremenda mano compartiendo gracias diegodelacurva https t co 5nglkl9l5y,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,9.763,121.485
1307,la mejor candidato a intendente de montevideo lauraraffo el equipo de la 404 junto a la coalicion multicolor liderado por una mujer inteligente culta con conocimientos para gestionar y muy humilde para relacionarse con los vecinos https t co 83qgtqeksi,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,9.763,62.353
1253,scj informo nuevo plan de contingencia para sedes de montevideo https t co ggi5njzchl https t co ir96geloco,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,9.763,57.593
1252,gente se va de montevideo como si fuera un feriado espero en su propio auto cuanto tiempo creen que llevara que casualmente aparezcan casos en el interior que parte de quedateentucasa no entendieron el virus va donde vos vayas pensa en colectivo,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,9.763,59.189
1208,nadie hablo con el intendente de montevideo para suspender la 2 cuota de la patente para apaliar la situacio de coronavirus y avisrle que estamos sin trabajo,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,9.763,38.412
1204,thelastsephardi caroveigab yeyeniknim emigilcabrera edvescobar es raro soy uruguaya y espero que expliquen esto pero todo es posible aca el ano pasado se escapo un mafioso italiano de una carcel en el centro de montevideo nunca mas lo agarraron jajaja con eso te digo todo,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,9.763,138.535
1172,portalmvd yo por ejemplo estoy esperando que la intendencia de montevideo prorrogue el cobro de tributos,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,9.763,29.212
1168,elpaisuy que la intendencia de montevideo prorrogara los tributos de oro que recauda seria un gesto de empatia tambien,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,9.763,35.629
1146,pablopineyro11 en el caso de las intendencias de maldonado canelones y montevideo han publicado comunicados oficiales sobre este tema en el caso de montevideo ahora se esta trabajando con horarios de dias domingo https t co ydaleim860,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,9.763,88.571
1137,la intendencia de montevideo redujo 50 los servicios de omnibus no deberia ser asi no creo que las frecuencias tengan que disminuir de manera radical dice el ministro de trabajo pablo mieres en notoquennada,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,9.763,59.535
1514,les presento a mi nuevo amigo de la cuarentena el wilson recien llegado de montevideo https t co g4juipbvye,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,9.763,48.302
597,gera nunez1001 y la intendencia de montevideo va bajar la contribucion o las patentes,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,9.763,33.938
991,el cantimpalo tatto2701 justiciaradio diegodelacurva ya hice el de los barrios de montevideo de grupos musicales ciudades del mundo y tango siempre me falta alguno necesito uno que sepa todo,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,9.763,65.443
6,informadosdetodo tengo a mi hermano toti pagano periodista deportivo que esta en el hotel panamericano que estaba en el buque bus que vino ayer de montevideo,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,9.763,133.366
893,boconbonica ahora parece ser que se escapo del hostipal de clinicas de ser asi es peor ya que ademas de todo de ser asi se fue de montevideo hasta colonia 2 tarado,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,9.763,70.311
1546,estan poniendo en laser saldremos de esta de montevideo cuanto tiempo sin escucharla,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,9.763,28.136
1780,nunca me senti tan solo en las calles de montevideo,rada-de-montevideo&montevideo-outer-roads-montevideo-road-rada-de-montevideo,9.763,28.541
