,text,name,score,time_ms
24,"Lleg con 13 aos y en 2004 fue subcampen dptal sub 15 y campen dptal sub 14. 
A los 14 aos parti hacia Montevideo donde realiz todas las inferiores en @LiverpoolFC1915 hasta llegar a primera y luego @RamplaJuniorsFC.
Luego de 15 aos vuelve a casa.
Bienvenido @Fonchiito! https://t.co/eE1GROelHJ",sda-14|sda-send-15,863.76,279.922
25,"Montevideo y Colonia sern sedes del Campeonato Femenino Sub 17 de la CONMEBOL, que se disputar del 15 de abril al 3 de mayo del 2020.

 Participarn las diez selecciones de las Asociaciones Miembro de la CONMEBOL.

En 2018,  se llev el ttulo tras imponerse a . https://t.co/A9r1ZgWzi4",3-de-15-mts|8-de-17-mts,419.39,895.434
26," Sorteamos 3 entradas dobles para #MontevideoRock!

  Dale MG y RT
  Seguinos
 # Mencion a un amigo/a con #MontevideoRock.

 El 12/3 anunciamos a los ganadores. https://t.co/ltY0pVrmxx",3-de-15-mts|7-de-12-mts,201.389,431.692
27,"Hace semanas q espero con tremenda manija el Mdeo rock.Pero dejando la manija d lado,resulta bastante irresponsable reunir a 40 mil personas (tomando en cuenta q vendrn artistas extranjeros y x tanto fans tmb) en un espacio cuando la OMS declar pandemia y evitar aglomeraciones",sda-q|sda-x,792.43,254.595
28,"Lleg con 13 aos y en 2004 fue subcampen dptal sub 15 y campen dptal sub 14. 
A los 14 aos parti hacia Montevideo donde realiz todas las inferiores en @LiverpoolFC1915 hasta llegar a primera y luego @RamplaJuniorsFC.
Luego de 15 aos vuelve a casa.
Bienvenido @Fonchiito! https://t.co/eE1GROelHJ",sda-14|sda-send-15,863.76,303.33
29,"Otra lectura es que @lauraraffo es la candidata con mayor intencin de voto  en apenas 1 mes de actividad poltica y supera por un 9% al exintendente Martnez. 
Faltan 2 meses. 
La campaa electoral an no ha entrado en su etapa ms intensa. 
Raffo crece en apoyos da a da.",2|1,214.163,1028.601
30,Hace instantes en Paysand: Mujer fue herida de bala de fuego en la esquina de 18 de julio y Montevideo. Fue atcada cuando bajaba de su auto en la esquina del Banco Repblica. Hay un hombre detenido... ampliaremos https://t.co/ddry2lAWmG,paysandu|julio-herrera-y-obes,496.309,1156.909
31,"Este sbado es el Montevideo Rock, un espectculo dnde vienen personas a verlo de todas partes de latinoamerica, principalmente argentina y chile. Se estima que asistan 50.000 personas. No habra que suspenderlo? Es un peligro! @chdica hac algo til por favor!!",chile|republica-argentina,943.078,242.522
32,"1)Ciudadana Indignada MARIANELLA VALENTN
Montevideo
Mircoles, 11 Marzo 2020 
@|Este no es el Uruguay del cual me siento orgullosa!
El 1 de marzo, asumi el Sr. Presidente Dr. Luis Lacalle Pou, elegido por la ciudadana!
Todo sali impecable!
Como orgullosa blanca",16-de-marzo|1-de-agosto,742.949,803.739
33,"1)Ciudadana Indignada MARIANELLA VALENTN
Montevideo
Mircoles, 11 Marzo 2020 
@|Este no es el Uruguay del cual me siento orgullosa!
El 1 de marzo, asumi el Sr. Presidente Dr. Luis Lacalle Pou, elegido por la ciudadana!
Todo sali impecable!
Como orgullosa blanca",16-de-marzo|1-de-agosto,742.949,768.366
34,Hace instantes en Paysand: Mujer fue herida de bala de fuego en la esquina de 18 de julio y Montevideo. Fue atcada cuando bajaba de su auto en la esquina del Banco Repblica. Hay un hombre detenido... ampliaremos https://t.co/ddry2lAWmG,paysandu|julio-herrera-y-obes,496.309,923.153
35,"Cuando te das cuenta que te gustan los ruidos del centro #Montevideo 
Te das cuenta que ests todo tomado por esta hermosa y amada ciudad.",montevideo,212.998,89.491
36," La plaza fue una propuesta ganadora del @ppmvd. 

 Se inaugurar tambin un mural en homenaje a Luisa Cuesta. 

 Lima y Francisco Acua de Figueroa
 19.30 h

https://t.co/qHkkwoaxNh",francisco-acua-de-figueroa|lima,2115.828,1145.537
37," Sorteamos 3 entradas dobles para #MontevideoRock!

  Dale MG y RT
  Seguinos
 # Mencion a un amigo/a con #MontevideoRock.

 El 12/3 anunciamos a los ganadores. https://t.co/ltY0pVrmxx",3-de-15-mts|7-de-12-mts,201.389,431.181
38,"El @ALA_Congreso se llevar a cabo del 24 al 28 de noviembre en #Montevideo, #Uruguay. 
Si quieres participar como ponente ests a tiempo de registrarte: https://t.co/BvqoCD5lRi https://t.co/stgz3v6dyv",sda-28|sda-24,366.563,222.997
39," Sorteamos 3 entradas dobles para #MontevideoRock!

  Dale MG y RT
  Seguinos
 # Mencion a un amigo/a con #MontevideoRock.

 El 12/3 anunciamos a los ganadores. https://t.co/ltY0pVrmxx",3-de-15-mts|7-de-12-mts,201.389,437.244
40,"Este sbado es el Montevideo Rock, un espectculo dnde vienen personas a verlo de todas partes de latinoamerica, principalmente argentina y chile. Se estima que asistan 50.000 personas. No habra que suspenderlo? Es un peligro! @chdica hac algo til por favor!!",chile|republica-argentina,943.078,1248.359
41,"Este sbado es el Montevideo Rock, un espectculo dnde vienen personas a verlo de todas partes de latinoamerica, principalmente argentina y chile. Se estima que asistan 50.000 personas. No habra que suspenderlo? Es un peligro! @chdica hac algo til por favor!!",chile|republica-argentina,943.078,1419.171
42,"Este sbado es el Montevideo Rock, un espectculo dnde vienen personas a verlo de todas partes de latinoamerica, principalmente argentina y chile. Se estima que asistan 50.000 personas. No habra que suspenderlo? Es un peligro! @chdica hac algo til por favor!!",chile|republica-argentina,943.078,209.305
43,"EL GOBIERNO URUGUAYO DEBE SUSPENDER EL 
MONTEVIDEO ROCK

EL MUNDO EN CUARENTENA Y AISLAMIENTO  Y ACA SE PERMITE UNA AGLOMERACIN COMO ESTA?

ESTS DE ACUERDO CON Q SE DEBE SUSPENDER X SEGURIDAD?
Por favor respuesta y Retweet",sda-q|sda-x,396.215,50.164
44,"Este sbado es el Montevideo Rock, un espectculo dnde vienen personas a verlo de todas partes de latinoamerica, principalmente argentina y chile. Se estima que asistan 50.000 personas. No habra que suspenderlo? Es un peligro! @chdica hac algo til por favor!!",chile|republica-argentina,943.078,153.793
45,@rechismo la primera vez q estamos d acuerdo en algo imm,sda-a-d|sda-q,236.584,302.444
46," Sorteamos 3 entradas dobles para #MontevideoRock!

  Dale MG y RT
  Seguinos
 # Mencion a un amigo/a con #MontevideoRock.

 El 12/3 anunciamos a los ganadores. https://t.co/ltY0pVrmxx",3-de-15-mts|7-de-12-mts,201.389,460.824
47,"Toque de campana en la Bolsa de Valores de Montevideo por la igualdad de gnero #GeneracinIgualdad
Aqu empec mi carrera profesional y nunca haba visto tantas mujeres en la Bolsa de Valores https://t.co/6clyXiFW77",bolsa-de-valores-(montevideo),286.073,38.265
48,"U$S 400.000 nada mal para un par de meses de uso. (FORMA RPIDA DE TIRAR LA PLATA BY FA) Hay que cambiar!!!! estan gestionando al grito de algn amigo El ""vamo arriba"" con la plata de los vecinos. @BatllistasM @ColoyBatllistas @Municipiob @CarlosVarelaMVD @LoleHierro06 https://t.co/ALAmtMBQTz",rio-de-la-plata|mal-abrigo,936.26,161.57
